Front-end*Javascript*CSS*HTML*Bootstrap*Responsive Design*React,Unknown,Full-time
برنامه‌نویسی*Java*core java*Hibernate*AJAX*CSS*Javascript,4000000,Full-time
Front-end*CSS*HTML*Javascript*UI  UX*Responsive,Unknown,Full-time
برنامه نویسی وب*HTML5*CSS3*JS,Unknown,Full-time&Remote
تحقیق و پژوهش,4000000,Full-time
Back-end*Nodejs*Golang*HTTP,Unknown,Full-time
Data science*Node.js*Python*NoSQL*Git,Unknown,Full-time
طراحی سایت*Wordpress,4000000,Full-time
CSS*Javascript*jQuery*ASP.NET*ASP.NET MVC*T-SQL*C#*HTML,Unknown,Full-time
Back-end*Laravel*OOP*TDD*REST API,Unknown,Full-time
C#*C#.Net*Sql Server*Entity Framework*Object Oriented,3000000,Full-time
PHP*Laravel*MySQL*MVC*Back-end,Unknown,Full-time
Nodejs*NoSQL*Git*Mongoose*Express,Unknown,Full-time
برنامه نویسی وب*CSS3*HTML5*Git*Wordpress,Unknown,Full-time&Remote
Back-end*jpa*Spring Boot*Java,Unknown,Full-time
Python*NoSQL*MongoDB*OOP*Django*Node.js*API,Unknown,Full-time
هوش مصنوعی*Python*Java*Cpp*OOP,Unknown,Full-time
react native*Javascript*ReactJS*RestFul API*Redux,9000000,Full-time
Front-end*Angular*CSS*HTML,Unknown,Full-time
Kotlin*Android*Android SDK*Java,Unknown,Full-time
PHP*Laravel*jQuery*Bootstrap*HTML*Git,4000000,Full-time
PHP*Laravel Framework*MySQL*Bootstrap*MVC*OOP,Unknown,Full-time
Back-end*MVC*OOP*MySQL,Unknown,Full-time
برنامه نویسی وب*JS*CSS3*HTML5*RestFul API*Wordpress,Unknown,Full-time&Remote
Front-end*NuxtJS*Vuejs*Javascript*CSS3*HTML*SASS*Git,Unknown,Full-time
React*Javascript*CSS*HTML,9000000,Full-time
SQL*T-SQL,Unknown,Full-time
Front-end*Javascript*CSS*HTML*React,9000000,Full-time
.NET*C#*Sql Server*T-SQL,Unknown,Full-time
پشتیبانی سایت*طراحی سایت*ASP.NET*CSS,Unknown,Full-time
Laravel*PHP*OOP,Unknown,Full-time
Laravel*yii2*Node.js*PHP*NoSQL,6500000,Full-time
Scrum*Scrum Master,Unknown,Full-time
طراحی سایت*Wordpress,Unknown,Full-time
react native*Redux*SQL,Unknown,Full-time
Android*Android SDK*Debugging*UI  UX*SQLite*Java*جاوا*Kotlin*کاتلین*RxJava,Unknown,Full-time
